userid,movieid,rating
13,799,1
655,722,0
58,9,1
455,121,1
867,23,1
398,230,0
177,173,1
456,33,1
13,762,1
634,985,1
380,204,0
535,1093,1
894,1048,1
406,228,0
860,514,1
943,426,1
823,566,1
625,134,1
510,876,0
406,117,1
256,36,0
588,366,1
269,939,0
181,938,0
7,631,1
325,357,1
92,855,1
128,179,0
833,656,1
303,436,1
561,849,0
500,407,0
291,794,1
749,88,1
788,4,0
116,298,0
125,323,0
943,72,0
894,1560,1
764,227,1
83,739,1
379,1022,0
885,179,0
370,613,0
927,412,0
552,118,0
128,143,1
707,1068,1
335,307,1
110,808,0
425,181,1
841,888,1
476,748,0
121,12,1
653,809,0
660,636,0
174,709,1
405,806,0
695,313,0
13,448,0
44,193,0
615,179,1
931,125,1
311,642,1
883,847,1
15,471,1
783,330,0
399,560,0
230,223,1
452,134,0
90,1020,1
262,100,0
806,1048,0
347,820,0
833,761,0
493,192,0
371,64,1
878,794,1
655,954,0
887,181,1
56,815,1
815,402,1
114,156,1
397,302,1
322,182,1
535,425,1
429,961,0
301,269,1
416,689,1
22,233,0
360,302,1
145,454,0
882,199,1
405,1424,0
270,716,1
630,100,0
551,90,0
158,483,1
896,117,0
472,101,1
276,386,0
495,629,0
905,475,0
365,340,1
163,326,0
118,960,1
807,398,0
790,1230,0
38,35,1
456,232,0
907,1,1
72,69,1
336,1094,0
545,254,1
487,802,1
847,204,1
524,1560,1
592,11,1
200,596,1
479,196,1
326,503,0
650,258,0
399,470,1
253,200,1
833,92,0
881,217,0
833,98,0
440,271,1
846,482,1
892,98,1
279,375,0
467,258,0
375,761,0
727,511,1
311,781,0
429,367,0
230,142,1
852,260,0
621,432,1
847,96,1
499,482,0
13,317,1
44,530,1
403,118,1
533,20,1
303,748,0
393,755,0
943,655,1
832,678,0
537,426,0
588,95,1
727,559,0
374,815,1
625,597,0
95,7,1
378,482,1
293,582,1
943,816,1
239,39,1
782,1382,0
861,1227,1
761,261,0
525,124,0
59,393,0
514,792,1
354,660,0
517,229,0
76,98,1
555,252,1
922,155,0
779,222,1
94,173,1
454,1107,1
497,72,0
779,195,1
643,70,0
422,185,1
435,196,1
345,566,0
600,665,1
795,143,0
489,895,1
64,210,0
399,80,0
889,318,1
715,118,0
768,151,0
296,20,1
343,930,0
405,1338,0
193,722,0
